Sentence,Intent_label
In the mid 1970s Schaefer Beer was one of the top selling beers in the US ranking as high as fifth in both the 1950 and 1970 rankings.,drink
Yoo hoo is an American brand of chocolate drink that was developed by Natale Olivieri in New Jersey in 1928.,drink
Yoo hoo is manufactured by Keurig Dr Pepper.,drink
"As of 2019 Yoo hoo is primarily made from water, HFCS and whey.",drink
Coca wine is an alcoholic beverage combining wine with cocaine.,drink
Coca wine popular brand was Vin Mariani developed in 1863 by French Corsican chemist and entrepreneur Angelo Mariani.,drink
Coca wine became illegal in United States when other main drug alcohol was banned later with Eighteenth Amendment in 1920.,drink
A latte is a coffee drink made with espresso and steamed milk.,drink
"The term latte as used in English is a shortened form of Italian caffè e latte, caffelatte or caffellatte.",drink
The term latte is a shortened form of Italian caffè e latte which means milk coffee.,drink
In northern Europe and Scandinavia term café au lait has traditionally been used for combination of espresso and milk.,drink
In France the café latte is mostly known from the original Italian name of the drink.,drink
Caffè latte or caffelatte a combination of espresso and steamed milk equivalent to a latte is in French called grand crème and in German Milchkaffee or Wiener Melange.,drink
"Variants include the chocolate flavored mocha or replacing the coffee with another drink base such as masala chai, mate, matcha, turmeric or rooibos.",drink
Carlton Draught is a beer made in Australia by Carlton & United Breweries.,drink
Lassi is a popular traditional dahi based drink that originated in the Indian subcontinent.,drink
"Lassi is a blend of yoghurt, water, spices and sometimes fruit.",drink
Namkeen lassi is similar to doogh while sweet and mango lassis are like milkshakes.,drink
Bhang lassi is infused with the drug cannabis in the form of bhang.,drink
Chaas is a similar drink of a thinner consistency.,drink
Between 1863 and 1868 Angelo Mariani started marketing a coca wine called Vin Tonique Mariani which was made from Bordeaux wine and coca leaves.,drink
Vin Mariani that was to be exported contained 7.2mg per ounce in order to compete with the higher cocaine content of similar drinks in United States.,drink
"Advertisements for Vin Mariani claimed that it would restore health, strength, energy and vitality.",drink
"Flavored milk is a sweetened dairy drink made with milk, sugar, food colorings and artificial or natural flavorings.",drink
Flavored milk is often pasteurized using ultra high temperature treatment which gives it a longer shelf life than plain milk.,drink
Pre mixed flavored milk is sold in the refrigerated dairy case alongside other milk products.,drink
Flavored sweetened powders or syrups which are added to plain milk are available along with flavored straws.,drink
Ale 8 One is a regional ginger and citrus flavored soft drink.,drink
Ale 8 One is distributed primarily to brick and mortar retailers in Kentucky.,drink
Ale 8 One could be described as a ginger pop with a kick.,drink
Ale 8 One is a ginger and citrus blend containing less carbonation and fewer calories than conventional soda.,drink
Ale 8 One is bottled by Ale 8 One Bottling Company in Winchester Kentucky.,drink
Amazake is a traditional sweet low alcohol Japanese drink made from fermented rice.,drink
Amazake dates from the Kofun period and it is mentioned in the Nihon Shoki.,drink
"Amazake is part of the family of traditional Japanese foods made using the koji mold that includes miso, soy sauce and sake.",drink
There are several recipes for amazake that have been used for hundreds of years.,drink
By another popular recipe sake kasu is simply mixed with water but usually sugar is added.,drink
"Amazake can be used as a dessert, snack, natural sweetening agent, baby food, salad dressing or smoothie.",drink
The traditional drink prepared by combining amazake and wate heated to a simmer.,drink
Amazake often topped with a pinch of finely grated ginger was popular with street vendors.,drink
"Amazake it is still served at inns, teahouses and at festivals.",drink
Many Shinto shrines provide or sell amazake in the New Year.,drink
In the 20th century an instant  amazake version became available.,drink
Amazake is believed to be very nutritious.,drink
"Amazake contains vitamin B1, B2, B6, folic acid, dietary fiber, oligosaccharide, cysteine, arginine and glutamine.",drink
Amazake is often considered a hangover cure in Japan.,drink
"Similar beverages include the Chinese jiuniang, Korean gamju and Vietnamese cơm rượu.",drink
Caffè corretto an Italian beverage consists of a shot of espresso with a small amount of liquor usually grappa and sometimes sambuca or brandy.,drink
Caffè corretto is also known outside Italy as an espresso corretto.,drink
"Caffè corretto is ordered as un caffè corretto alla grappa, corretto alla sambuca or corretto al cognac depending on the desired liquor.",drink
Most Italian bartenders prepare a caffè corretto simply adding a few drops of the desired liquor into an espresso shot.,drink
In Spain a similar drink is known as carajillo.,drink
In Portugal is known as Café com Cheirinho.,drink
In Sweden in France the Pousse Café or Café Calva.,drink
"In Norway and Denmark as kaffekask, karsk or kaffegök.",drink
Mug Root Beer is a brand name of root beer made by New Century Beverage Company of San Francisco California a subsidiary of PepsiCo.,drink
"Mug Root Beer was originally produced by Belfast Beverage Company in San Francisco, California during the 1940s as Belfast Root Beer.",drink
An advertisement for Belfast Root Beer appears as early as 1947.,drink
The product name was later changed to Mug Old Fashioned Root Beer.,drink
An advertisement for Belfast Old Fashioned Mug Root Beer appears as early as 1952.,drink
In the late 1960s Sugar Free Mug now Diet Mug Root Beer was introduced.,drink
Mug Cream Soda and Diet Mug Cream Soda were later introduced but they are not as widely available.,drink
Mug Root Beer is manufactured by independent bottlers under the authority of New Century Beverage Company.,drink
The Mug features the company mascot a bulldog named Dog holding a mug of root beer.,drink
"Sahti is a Finnish beer made from malted and unmalted grains including barley, rye and oats.",drink
Traditionally Sahti is flavored with juniper.,drink
Sahti is top fermented and many have a banana flavor due to isoamyl acetate from the use of baking yeast although may also be used in fermenting.,drink
Sahti was traditionally brewed as a farmhouse ale but commercial versions are now available.,drink
Commercial sahti is usually 8% ABV.,drink
"In Finland due to the higher percentage of alcohol in sahti is only sold in commercial sahti breweries, pubs or state owned Alko stores.",drink
Sahti has to be stored cold until consumption and is therefore not available in all Alko branches.,drink
The etymology of the word sahti is not certain.,drink
Apple cider is also called sweet cider or soft cider or simply cider.,drink
"Apple cider  is name used in United States and parts of Canada for an unfiltered, unsweetened, non alcoholic beverage made from apples.",drink
Apple cider is not to be confused with the alcoholic beverage known as cider in other places which is called hard cider in US and Canada.,drink
Apple cider is the liquid extracted from an apple and all its components that is then boiled to concentration.,drink
Once pressed mainly at farmsteads and local mills apple cider is easy and inexpensive to make.,drink
Apple cider is typically opaque due to fine apple particles in suspension and generally tangier than commercial filtered apple juice.,drink
Cider is typically pasteurized to kill bacteria and extend its shelf life but untreated cider is common.,drink
In either form apple cider is seasonally produced in autumn.,drink
"Apple cider is traditionally served on the Halloween, Thanksgiving, Christmas and various New Year Eve holidays sometimes heated and mulled.",drink
"Boza also bosa, bozo is a popular fermented beverage.",drink
Boza is a malt drink made by fermenting various grains maize and wheat in Albania wheat in Turkey wheat or millet in Bulgaria and Romania and barley in Egypt.,drink
Boza has a thick consistency a low alcohol content and a slightly acidic sweet flavor.,drink
Pibb Xtra is a reformulation of Mr.Pibb a soft drink created and marketed by The Coca Cola Company.,drink
Pibb Xtra first introduced to compete with Dr Pepper.,drink
Pibb Xtra has several variants.,drink
"Pibb Xtra is sold in bottles, cans, 2 liter bottles and is available in most Coca Cola Freestyle machines.",drink
Mecca Cola is a cola flavoured carbonated beverage.,drink
Mecca Cola is the flagship product of the Mecca Cola World Company.,drink
​​Mecca Cola is marketed as an alternative to brands such as Coca Cola and Pepsi Cola to pro Muslim consumers.,drink
"Coffee is a brewed drink prepared from roasted coffee beans, seeds of berries from certain Coffea species.",drink
Roasted beans are ground and then brewed with near boiling water to produce the beverage known as coffee.,drink
"Coffee is darkly colored, bitter, slightly acidic and has a stimulating effect in humans primarily due to its caffeine content.",drink
Coffee is one of the most popular drinks in the world.,drink
"Coffee can be prepared and presented in a variety of ways eg espresso, French press, caffè latte.",drink
Coffee is usually served hot although iced coffee is a popular alternative.,drink
Clinical studies indicate that moderate coffee consumption is benign or mildly beneficial in healthy adults.,drink
The most common naturally caffeinated beverages are coffee and tea.,drink
Horchata is a name given to various plant milk beverages of similar taste and appearance.,drink
Ten High is a brand of American whiskey first introduced in the 1930s by Hiram Walker & Sons,drink
Monopolowa originally a Polish brand is a vodka made in Austria by Gessler.,drink
Monopolowa is distilled from potatoes.,drink
Club soda is a manufactured form of unflavored carbonated water commonly used as a drink mixer.,drink
Seltzer water is a similar manufactured carbonated water but lacks added mineral content.,drink
"Snapple is a brand of tea and juice drinks which is owned by Keurig Dr Pepper and based in Plano, Texas.",drink
Snapple brand achieved some fame due to various pop culture references including television shows.,drink
"Eggnog, egg nog historically also known as milk punch or egg milk punch is a rich, chilled, sweetened, dairy based beverage.",drink
"Eggnog is traditionally made with milk, cream, sugar, whipped egg whites and egg yolks.",drink
"In some contexts distilled spirits such as brandy, rum, whisky or bourbon are added to eggnog.",drink
Throughout Canada and United States the eggnog is traditionally consumed over the Christmas season from late November until the end of the holiday season.,drink
Eggnog has also gained popularity in Australia.,drink
A variety called Ponche Crema has been made and consumed in Venezuela and Trinidad since the 1900s also as part of the Christmas season.,drink
During that time commercially prepared eggnog is sold in grocery stores in these countries.,drink
"Eggnog is also homemade using milk, eggs, sugar and flavorings and served with cinnamon or nutmeg.",drink
While eggnog is often served chilled in some cases it is warmed particularly on cold days.,drink
Eggnog or eggnog flavoring may also be used in other drinks such as coffee eg eggnog latte espresso.,drink
Cracovia is Polish brand of vodka produced by distillery Polmos Kraków since 1995.,drink
"There are three varieties of this vodka Cracovia Classic, Cracovia Supreme and Cracovia Very Old.",drink
Apéritifs and digestifs are drinks typically alcoholic that are normally served before or after a meal.,drink
Qoo is a non carbonated beverage from the Coca Cola Company.,drink
"Qoo was introduced in Japan on May 28, 1999 in the Kyushu region.",drink
When it was introduced Qoo completely replaced Hi C in Japan.,drink
Qoo is now available throughout much of Asia in a variety of flavors including grape and orange.,drink
Qoo was introduced white grape flavor was available at drink fountains in Japan as well at McDonald's as Coca Cola pushed this drink to market in many places.,drink
In Germany the Qoo product line was sold from January 2003 until November 2005.,drink
Additionally Qoo White Grape is available in Japan in McDonald's fountain machines nationwide.,drink
Pepsi Twist is a lemon flavored cola marketed by PepsiCo as an alternative to regular Pepsi.,drink
St.Ides is a malt liquor manufactured by the Pabst Brewing Company.,drink
St.Ides contains 8.2% alcohol by volume which is stronger than many high alcohol malt liquors.,drink
St.Ides was launched by the McKenzie River Corporation in 1987.,drink
St.Ides gained prominence during the late 1980s and early 1990s through the use of celebrity endorsements by rap artists.,drink
St.Ides is available in a number of St.Ides Special Brews which have a variety of flavorings including various fruit flavors.,drink
Vernors is an American ginger soda brand.,drink
Vernors was created in 1866 by James Vernor a Detroit pharmacist.,drink
Tomato juice is a juice made from tomatoes.,drink
"Tomato juice usually used as a beverage either plain or in cocktails such as a Bloody Mary, a Caesar or Michelada.",drink
Josta was a soft drink brand that was produced by PepsiCo.,drink
Josta was first energy drink ever introduced by a major US beverage company.,drink
Josta flavor has been described as predominantly fruity with a hint of spice and a touch of the key ingredient guaraná.,drink
Josta was marketed as a high energy drink with guaraná and caffeine.,drink
Josta was introduced in 1995 but PepsiCo pulled the drink from its lineup due to a change in corporate strategy in 1999.,drink
Shortly before Josta was discontinued an Association for Josta Saving was started.,drink
A Save Josta campaign was also launched by fans of Josta.,drink
Kissel or kisel is a viscous fruit dish popular as a dessert and as a drink.,drink
Kissel consists of the sweetened juice of berries like mors.,drink
Kissel is thickened with cornstarch potato starch or arrowroot sometimes red wine or fresh or dried fruits are added.,drink
Kissel is similar to the Danish rødgrød and German Rote Grütze.,drink
Swedish blåbärssoppa is a similarly prepared bilberry dessert.,drink
Kissel can be served either hot or cold also together with sweetened quark or semolina pudding.,drink
Kissel can also be served on pancakes or with ice cream.,drink
"If kissel is made using less thickening starch it can be drunk and this is common in Poland, Russia and Ukraine.",drink
Ancient Age is a brand of bourbon whiskey distilled in Frankfort Kentucky at the Buffalo Trace Distillery.,drink
Ezra Brooks is a brand of Kentucky straight bourbon whiskey.,drink
Ezra Brooks is primarily bottled at 40% abv or 45% abv.,drink
Ezra Brooks brand was created by Frank Silverman in 1957.,drink
"Ezra Brooks was bottled at Hoffman Distilling Company in Lawrenceburg, Kentucky until Hoffman Distilling Co went out of business in the 1970s.",drink
In 1993 Ezra Brooks was purchased by Luxco of St.Louis Missouri.,drink
Ezra Brooks is distilled at Luxco Lux Row Distillers in bourbon county Bardstown Kentucky.,drink
"Luxco other whiskey brands Rebel Yell, David Nicholson and Blood Oath.",drink
Old Crow is a low priced brand of Kentucky made straight bourbon whiskey distilled by Beam Suntory.,drink
Beam Suntory also produces Jim Beam and several other brands of whiskey.,drink
The current Old Crow product uses the same mash bill and yeast as Jim Beam.,drink
The current Old Crow product is aged for a shorter period of time and mixed to a more lenient taste profile before bottling.,drink
The Old Crow brand has a venerable history as one of Kentucky earliest bourbons.,drink
The Old Crow is aged in barrels for a minimum of three years.,drink
The Old Crow in the United States is 80 proof.,drink
The slightly higher quality but inexpensive Old Crow Reserve is aged for a minimum of four years and is 86 proof.,drink
OK Soda was a soft drink created by The Coca Cola Company in 1993.,drink
"OK Soda courted American Generation X demographic with unusual advertising tactics including neo noir design, chain letters and negative publicity.",drink
After OK Soda did not sell well in select test markets it was officially declared out of production in 1995 before reaching nationwide distribution.,drink
The OK Soda slogan was Things are going to be OK.,drink
Sam Choice is a private label brand created by Cott Beverages for Walmart stores.,drink
The brand was introduced as Sam's American Choice in 1991 and has since been shortened to simply Sam's Choice.,drink
The Sam's Choice is named after Sam Walton the founder of Walmart.,drink
Items produced under the Sam's Choice label primarily are grocery items.,drink
More recently the Sam's Choice has expanded from mainly beverages to several other items.,drink
Recent additions include Sam's Choice coffee and Sam's Choice Black Angus hamburger patties as well as Sam's Choice pizzas.,drink
Coco López is a Puerto Rican coconut product which is used in many popular drinks.,drink
Coco López was invented by Ramón López Irizarry an agricultural professor for the University of Puerto Rico.,drink
Irizarry left university and commercialized Coco López which eventually found its way into the island's supermarkets.,drink
Coco López was the base for the invention of the tropical drink piña colada.,drink
Initially most piña coladas used Coco López to bring out the coconut flavor.,drink
Nowadays various other coconut drinks are also used when making piña coladas.,drink
Ramon Lopez the creator of Coco López was a WWI veteran.,drink
Although Coco López packaging describes it as a cream of coconut it cannot be used as a substitute for coconut cream in Thai or other Southeast Asian cuisines.,drink
The Coco López is sweetened for inclusion in piña coladas.,drink
Sunny Delight marketed as SunnyD in some regions is a tangy orange flavored drink developed by Doric Foods of Mount Dora Florida in 1963.,drink
Sunny Delight grew so popular that additional plants were built in California and Ohio in 1974 and 1978 respectively.,drink
Sunny Delight drink produced an estimated $450 million in revenue for Procter & Gamble in 2004.,drink
Sunny Delight beverage is also distributed by Dr Pepper Seven Up or DPSU.,drink
In Canada the Sunny Delight is manufactured and distributed by Saputo.,drink
Sunny Delight The beverage was launched in the United Kingdom in April 1998 with a £10 million promotional campaign.,drink
By August 1999 Sunny Delight became the third biggest selling drink in the United Kingdom behind CocaCola and Pepsi.,drink
Sunny Delight was sold in refrigerated cabinets and marketed as a healthier alternative to soft drinks.,drink
SunnyD started out with only one flavor of drink orange.,drink
Tereré or Terere is an infusion of yerba mate similar to mate but prepared with cold water and ice rather than with hot water and in a slightly larger vessel.,drink
Tereré is originally from Paraguay and is found also in northeastern Argentina and southern and western Brazil.,drink
Tereré was spread by the dwellers of that region and for centuries was a social beverage.,drink
"Tereré is believed to refresh the body and can be a very low calorie, non alcoholic beverage.",drink
Tereré is an important ritual signifying trust and communion.,drink
Many people drink tereré with added herbs both medicinal and refreshing.,drink
"In northeastern Argentina and southern and western Brazil the tereré is commonly prepared with citrus fruit juices like lime, orange and pineapple.",drink
Mixing fruit juices with tereré is commonly called tereré ruso because this practice is more common with Slavic immigrants in the northeast of Argentina.,drink
A&W Root Beer is a root beer brand primarily available in the United States and Canada.,drink
A&W Root Beer was founded in 1919 by Roy W.Allen who partnered with Frank Wright in 1922.,drink
They combined their initials to create the brand A&W and inspired a restaurant chain also founded in 1922.,drink
Originally A&W root beer drinks sold for five cents.,drink
Outside Canada the rights to A&W brand are owned by Keurig Dr Pepper.,drink
A&W products are distributed via various U.S.bottlers.,drink
A&W Cream Soda is a cream soda carbonated soft drink introduced by A&W Root Beer in 1986.,drink
A&W Cream Soda and A&W Diet Cream Soda were introduced in 1986.,drink
A&W Cream Soda is currently the top brand in cream sodas.,drink
In 2017 A&W Cream Soda product was reformulated to be caffeine free.,drink
Dutch Gold is a low cost imported pilsner lager beer sold only in Ireland.,drink
"Spruce beer is a beverage flavored with the buds, needles or essence of spruce trees.",drink
Spruce beer can refer to either alcoholic or non alcoholic beverages.,drink
Postum is a powdered roasted grain beverage popular as a coffee substitute.,drink
Postum the caffeine free beverage was created by Post Cereal Company founder C.W.Post in 1895 and marketed as a healthful alternative to coffee.,drink
Eliza's Quest Foods now owns the trademark rights and secret recipe of Postum.,drink
The Postum instant drink mix version was developed in 1912 replacing the original brewed beverage.,drink
"The Postum is made from roasted wheat bran, wheat and molasses.",drink
The Postum coffee flavored and cocoa flavored versions have been introduced.,drink
Kompot or compot is a non alcoholic sweet beverage that may be served hot or cold depending on tradition and season.,drink
"Kompot is obtained by cooking fruit such as strawberries, apricots, peaches, apples, rhubarb, gooseberries or sour cherries in a large volume of water.",drink
Kompot is obtained by cooking fruit often together with sugar or raisins as additional sweeteners.,drink
Sometimes different spices such as vanilla or cinnamon are added for additional flavor especially in winter when Kompot is usually served hot.,drink
Kompot  is popular in Central and Eastern European countries as well as in Scandinavia.,drink
Virginia Gentleman is a brand of bourbon whiskey distilled in Kentucky and re distilled in Virginia.,drink
Virginia Gentleman brand motto was The Aristocrat of Them All.,drink
Clamato is a commercial drink made of reconstituted tomato juice concentrate and sugar which is flavored with spices dried clam broth and MSG.,drink
Made by Mott's the name clamato is a portmanteau of clam and tomato.,drink
The clamato is also referred to colloquially as clamato juice.,drink
"The clamato is consumed in the United States, Canada and Mexico.",drink
In 1935 The Clamato Corporation of New York produced clam and tomato juice in combination.,drink
In 1940 Lobster King Harry Hackney was granted the Clamato trademark.,drink
His Atlantic City restaurant Hackney's sold Clamato juice in cans.,drink
The Clamato brand name for the seasoned blend of tomato juice and clam juice.,drink
"Clamato was produced in its current form beginning in 1966 by Duffy Mott company in Hamlin, New York by Francis Luskey a chemist.",drink
Employees named new cocktail Mott's Clamato and secured trademark for the new brand.,drink
Cel Ray is a celery flavored soft drink from Dr Brown's.,drink
"Cel Ray is fairly easy to find in New York City, Philadelphia, Baltimore and in South Florida but rather obscure elsewhere.",drink
Country Time is a brand of non carbonated lemon flavored drink mix and soft drink.,drink
Country Time powdered mix is produced by Kraft Foods.,drink
Country Time bottles and cans of ready to drink versions of the line are available.,drink
Crystal Light is a lemonade powdered beverage mix produced by Kraft Foods.,drink
Crystal Light was released in 1982 originally by now defunct company General Foods.,drink
Crusha is a brand of milkshake mix sold in United Kingdom and Australia.,drink
Crusha brand first appeared in the 1950s and was bought by British Sugar.,drink
Crusha in December 2001 came under the Silver Spoon brand.,drink
Crusha is often the milkshake of choice in cafés.,drink
Crusha is also sold in shops for home mixing in bottles of from 250ml to 1l in size.,drink
Pepsi Wild Cherry is a cherry flavored cola first introduced in 1988 by PepsiCo.,drink
Pepsi Wild Cherry a replacement for Cherry Cola Slice introduced as part of the line in 1986.,drink
Two sugar free versions named Diet Pepsi Wild Cherry and Pepsi Zero Sugar Wild Cherry.,drink
A vanilla flavored version Pepsi Cherry Vanilla is also available.,drink
Pepsi Wild Cherry is currently sold in the United States and Canada as a regular permanent product.,drink
Penta Water is a brand of bottled water produced by United Beverage based in Southern California.,drink
Penta Water produces its water through a patented physics process.,drink
Penta Water has been claimed to have specific health benefits which have been contested.,drink
"Socată or suc de soc is a traditional Romanian soft drink made from the flowers of the European elder shrub, Sambucus nigra.",drink
